"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at","model.path","model.name","variable","2.5pct","97.5pct","or","or.se","or.low","or.high","model.or","beta.D","se.D","low.D","high.D","p.D","model.betas.D","or.D","or.se.D","or.low.D","or.high.D","model.or.D","eff.D","eff.high.D","eff.low.D","model.effectiveness.D","beta.O","se.O","low.O","high.O","p.O","model.betas.O","or.O","or.se.O","or.low.O","or.high.O","model.or.O","eff.O","eff.high.O","eff.low.O","model.effectiveness.O"
-2.60385468283221,0.138571053058649,-2.875,-2.332,0,"-2.6 (-2.88, -2.33)",0.0739878282191248,1.14863129243738,0.0564161395037774,0.0971013500571851,"0.07 (0.06, 0.1)",0.926012171780875,0.943583860496223,0.902898649942815,"0.93 (0.9, 0.94)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.33288688965544,0.0964177313468711,-2.522,-2.144,0,"-2.33 (-2.52, -2.14)",0.0970152700516652,1.10121898161468,0.080298848348021,0.117185163634705,"0.1 (0.08, 0.12)",0.902984729948335,0.919701151651979,0.882814836365295,"0.9 (0.88, 0.92)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.79134911450341,0.076476002078887,-1.941,-1.641,0,"-1.79 (-1.94, -1.64)",0.166735073155277,1.0794762848396,0.143560317655955,0.1937861592063,"0.17 (0.14, 0.19)",0.833264926844723,0.856439682344045,0.8062138407937,"0.83 (0.81, 0.86)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.68062201465742,0.253070547908081,-4.177,-3.185,0,"-3.68 (-4.18, -3.18)",0.0252072906535771,1.28797413751064,0.0153444720016047,0.0413782458009704,"0.03 (0.02, 0.04)",0.974792709346423,0.984655527998395,0.95862175419903,"0.97 (0.96, 0.98)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusPboost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9.42687029804715,0.500290464791575,-10.407,-8.446,0,"-9.43 (-10.41, -8.45)",8.05308434844689e-05,1.64920023573826,3.02201994864952e-05,0.000214757730516343,"0 (0, 0)",0.999919469156516,0.999969779800513,0.999785242269484,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","AgeGr0-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-18.8573531112554,0.0130330104301773,-18.883,-18.832,0,"-18.86 (-18.88, -18.83)",6.46183107446946e-09,1.01311831027907,6.29821233603657e-09,6.62775302796996e-09,"0 (0, 0)",0.999999993538169,0.999999993701788,0.999999993372247,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","AgeGr12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.74421155283504,1.00011020331675,-10.704,-6.784,0,"-8.74 (-10.7, -6.78)",0.000159381229965648,2.71858140863946,2.24549382808236e-05,0.00113173887681752,"0 (0, 0)",0.999840618770034,0.999977545061719,0.998868261123182,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","AgeGr16-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.58031958622705,0.500156463622897,-9.561,-7.6,0,"-8.58 (-9.56, -7.6)",0.000187764960721242,1.6489792557854,7.04223410981092e-05,0.000500451433440611,"0 (0, 0)",0.999812235039279,0.999929577658902,0.999499548566559,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","AgeGr18-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7.26398079132458,0.267538724027344,-7.788,-6.74,0,"-7.26 (-7.79, -6.74)",0.00070031467282406,1.30674423125568,0.000414681418004567,0.00118264715661557,"0 (0, 0)",0.999299685327176,0.999585318581995,0.998817352843384,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","AgeGr25-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.57604049691105,0.177274375395857,-6.923,-6.229,0,"-6.58 (-6.92, -6.23)",0.00139335538189665,1.19395864106432,0.000984870891502465,0.00197142233359061,"0 (0, 0)",0.998606644618103,0.999015129108498,0.998028577666409,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","AgeGr30-34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.22760806822786,0.146443585835154,-6.515,-5.941,0,"-6.23 (-6.52, -5.94)",0.00197416832964927,1.15770961775496,0.0014810558994694,0.00262939893693845,"0 (0, 0)",0.998025831670351,0.998518944100531,0.997370601063062,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","AgeGr35-39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
